ID,DATE,Title,Author,Subjects,Publisher,Language
religioussouven00bedegoog,1834,"The Religious Souvenir, a Christmas, New Year's and Birth Day Present for MDCCCXXXIV.",Gregory Thurston Bedell,,Published by Key & Biddle,English
youthskeepsakene00unse,1834,"Youth's keepsake : a New-Year, Christmas and birth-day present, for both sexes : with engravings",,,New York : J.C. Riker,eng
tokenandatlanti06goodgoog,1834,The token and Atlantic souvenir: a Christmas and New Year's present,Samuel Griswold Goodrich,,Published by CharlesBowen.,English
juvenileforgetm01hallgoog,1834,"The Juvenile Forget Me Not: A Christmas and New Year's Gift, Or Birthday Present",S. C. Hall,,Frederick Westley and A .H. Davis,English
offeringchristma00philrich,1834,The offering : a Christmas and New Year's present,,Gift books,Philadelphia : T.T. Ash,eng
christmasbox00phil,1835,The Christmas box,,,Philadelphia : Thomas T. Ash ...,eng
sketchbookgeoff11irvigoog,1835,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
sketchbookgeoff21irvigoog,1835,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
giftachristmasa00leslgoog,1836,The Gift: A Christmas and New Year's Present for 1836,Eliza Leslie,,E. L. Carey & A. Hart,English
strangersgiftchr00boku,1836,The stranger's gift. A Christmas and New Year's present,"Bokum, Hermann, 1807-1878, [from old catalog] ed",,"Boston, Light and Horton",eng
sketchbookgeoff06irvigoog,1836,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
juvenileforgetm00hallgoog,1836,"The Juvenile Forget Me Not: A Christmas and New Year's Gift, Or Birthday Present",S. C. Hall,,Frederick Westley and A .H. Davis,English
scripturalanthol01broo,1836,"Scriptural anthology; or, Biblical illustrations: designed as a Christmas and birth day present","Brooks, N. C. (Nathan Covington), 1809-1898",Bible;Gift books,"Philadelphia, W. Marshall & co.; Baltimore, J. S. Horton",eng
strangersgiftac00bokugoog,1836,The Stranger's Gift: A Christmas and New Year's Present,Hermann Bokum,,Light and Horton,English
giftchristmasnew00phil,1836,The Gift : a Christmas and New Year's present for ..,,Gift books,"Philadelphia, Pa. : E.L. Carey and A. Hart",eng
memoiroflouisael00wint,1836,"A memoir of Louisa, eldest daughter of T. Winter, pastor of a Baptist church in Bristol, England; who died, June 3, 1829, aged nine years and seven months ..","[Winter, T.] [from old catalog];American Sunday-School Union","Winter, Louisa, 1819-1829","Philadelphia, American Sunday-school union",eng
tokenatlanticsou00good,1836,The token and Atlantic souvenir. A Christmas and new year's present,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860;Hawthorne, Nathaniel, 1804-1864",Gift books,"Boston, Published by Charles Bowen",eng
religioussouven01unkngoog,1836,"The Religious Souvenir: A Christmas, New Year's and Birth Day Present",,,"Key, Mielke and Biddle",English
tokenatlanticsou1836good,1836,The token and Atlantic souvenir. : A Christmas and New Year's present.,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860, ed;Hawthorne, Nathaniel, 1804-1864",Gift books,Boston. : Charles Bowen,eng
religioussouven03unkngoog,1837,"The Religious Souvenir: A Christmas, New Year's and Birth Day Present","Bp Gregory Thurston Bedell,  Chauncey Colton,  T.K. Collins & Co",,"Key, Mielke and Biddle",English
friendshipsoffe05ritcgoog,1837,"Friendship's Offering, and Winter's Wreath.: And Winter's Wreath: a Christmas and New Year's Present","Thomas Kibble Hervey ,  Leitch Ritchie",,"Smith, Elder [etc.]",English
xmasgiftfairy00paulrich,1838,A Christmas gift from fairy land,"Paulding, James Kirke, 1778-1860;Chapman, J. G. (John Gadsby), 1808-1889",,New York : D. Appleton,eng
literarysouvenir1838burt,1838,"The Literary souvenir, a Christmas and New Year's present for","Burton, William E. (William Evans), 1802-1860","Gift books;Short stories, American;American fiction",Philadelphia : E.L. Carey & A. Hart,eng
literarysouvenir00burt,1838,"The Literary souvenir, a Christmas and New Year's present for ..","Burton, William E. (William Evans), 1802-1860","Gift books;Short stories, American;American fiction",Philadelphia : E.L. Carey & A. Hart,eng
tokenandatlanti00unkngoog,1838,The token and Atlantic souvenir: a Christmas and New Year's present,,,American Stationers' Co,English
literarysouvenir1840burt,1838,"The Literary souvenir, a Christmas and New Year's present for","Burton, William E. (William Evans), 1802-1860","Gift books;Short stories, American;American fiction",Philadelphia : E.L. Carey & A. Hart,eng
christmasgiftfro00paul,1838,A Christmas gift from fairy land,"Paulding, James Kirke, 1778-1860;Chapman, J. G. (John Gadsby), 1808-1889",Fairy tales -- United States,New York : D. Appleton,eng
gemchristmasnewy1842phil,1839,The Gem : a Christmas and New Year's present,,Gift books,Philadelphia : Henry F. Anners,eng
gemchristmasnewy1840phil,1839,The Gem : a Christmas and New Year's present,,Gift books,Philadelphia : Henry F. Anners,eng
garlandfor1839ch00bostrich,1839,"The Garland for 1839 : a Christmas, new-year, and birthday present",,Gift books,Boston : J. A. Noble,eng
forgetmenotchris00shobrich,1839,"Forget me not; a Christmas, New Year's and birthday present, for MDCCCXXXIX","Shoberl, Frederic, 1775-1853;Victoria, Queen of Great Britain, 1819-1901;Hearst, William Randolph, 1863-1951",English poetry,"London, Ackermann; New York, Appleton",eng
friendshipsoffe03ritcgoog,1839,"Friendship's Offering, and Winter's Wreath.: And Winter's Wreath: a Christmas and New Year's Present","Thomas Kibble Hervey ,  Leitch Ritchie",,"Smith, Elder [etc.]",English
tokenandatlanti00goodgoog,1840,The Token and Atlantic Souvenir: A Christmas and New Year's Present,Samuel Griswold Goodrich,,Published by Charles Bowen.,English
garlandforachri00unkngoog,1840,"The Garland for 1840: A Christmas, New-Year, and Birthday Present",,,Julius A. Noble,English
friendshipsoffe00compgoog,1840,"Friendship's offering: a Christmas, New Year, and birthday present ..","Esling, Catherine H. (Waterman), Mrs., [from old catalog] ed",Gift books,"Philadelphia, Marshall, Williams, and Butler; [etc., etc.",eng
friendshipsoffer1845wate,1841,"Friendship's offering: a Christmas, New Year, and birthday present ...","Waterman, Catharine H. (Catharine Harbeson), b. 1812",Gift books,"Philadelphia, Marshall, Williams, and Butler; [etc., etc.]",eng
giftchristmasnew00poee,1841,The gift: a Christmas and New Year's present for 1842,"Poe, Edgar Allan, 1809-1849 Eleonora",Gift books,"Philadelphia, Carey & Hart",eng
tokenandatlanti02unkngoog,1841,The token and Atlantic souvenir: a Christmas and New Year's present,,,,English
tokenandatlanti01unkngoog,1842,The token and Atlantic souvenir: a Christmas and New Year's present,,,,English
tokenandatlanti01goodgoog,1842,The Token and Atlantic Souvenir: A Christmas and New Year's Present,Samuel Griswold Goodrich,,Published by Charles Bowen.,English
ticknorscatalog00bostgoog,1842,"Ticknor's Catalogue of Christmas and New Year's Presents, for 1842 ...","William D. Ticknor & Co,  Mass William D . Ticknor (Firm : Boston",,,English
christmasb00brow,1842,"Christmas bells : a tale of holy tide, and other poems","Brown, John Walker, 1814-1849","Christmas;American poetry;Christian poetry, American",New York : D. Appleton,eng
christiansouven00bircgoog,1843,The Christian Souvenir: An Offering for Christmas and the New Year,"Isaac Fitzgerald Shepard,  Thomas Birch",,H.B. Williams,English
friendshipsoffe04unkngoog,1843,"Friendship's Offering, and Winter's Wreath: A Christmas and New Year's ...",,,E. H. Butler,English
tokenandatlanti00hillgoog,1843,The Token and Atlantic Souvenir: A Christmas and New Year's Present,"Samuel Griswold Goodrich,  George Stillman Hilliard",,Gray and Bowen,English
christiansouven00shepgoog,1843,The Christian Souvenir: An Offering for Christmas and the New Year,Isaac Fitzgerald Shepard,,H.B. Williams,English
memoiroflifelabo00phil,1843,"Memoir of the life, labors and extensive usefulness of the Rev. Christmas Evans : a distinguished minister of the Baptist denomination in Wales","Phillips, David;Evans, Christmas, 1766-1838",,New York : M. W. Dodd,eng
annualettechrist00lady,1844,The annualette : a Christmas and New Year's gift.,"Lady;T. Harrington Carter & Co., publisher",,Boston : Published by T.H. Carter and Co.,eng
reviewofjubileec00chas,1844,"Review of Jubilee College Christmas, 1843 by Rev. Samuel Chase","Chase, Samuel","Jubilee College (Peoria, Ill.)",New York? Samuel Chase?,eng
friendshipsoffe04ritcgoog,1844,"Friendship's Offering, and Winter's Wreath.: And Winter's Wreath: a Christmas and New Year's Present","Thomas Kibble Hervey ,  Leitch Ritchie",,"Smith, Elder [etc.]",English
christmasrose00woodiala,1845,The Christmas rose,"Wood, H. J;Friston, David Henry","Fortune-telling by flowers;Roses;Switzerland -- History Helvetic Republic, 1798-1803 Juvenile literature","London : Groombridge & Sons, 5, Paternoster Row",eng
giftchristmasnew00carerich,1845,"The Gift : a Christmas, New Year, and birthday present. MDCCCXLV","Carey & Hart. (1845) bkp CU-BANC;Stewart, George Rippey, 1895-;Sherman, C., 19th cent",Gift books,Philadelphia : Carey and Hart,eng
madelainetubeher00londiala,1845,Madelaine Tube and her blind brother : a Christmas story for young people,,Filial piety;Blind children;Cataract in children,"London : Groombridge and sons, Paternoster Row",eng
religioussouven02unkngoog,1845,"The Religious Souvenir: A Christmas, New Year's and Birth Day Present",,,"Key, Mielke and Biddle",English
christmasfestiv01poolgoog,1845,"Christmas Festivities: Tales, Sketches, and Characters, with Beauties of the Modern Drama, in ...",John Poole,,"Smith, Elder and Co.",English
bookchristmasde01hervgoog,1845,"The Book of Christmas: Descriptive of the Customs, Ceremonies, Traditions, Superstitions, Fun ...",Thomas Kibble Hervey,,Wiley & Putnam,English
hawthornchristma00newy,1845,The Hawthorn : a Christmas and New Year's present. MDCCCXLV,,Gift books,New York : J.C. Riker,eng
giftachristmasa01leslgoog,1845,The Gift: A Christmas and New Year's Present for ...,Eliza Leslie,,E. L. Carey & A. Hart,English
bookofchristmasd00herv,1845,"The book of Christmas; descriptive of the customs, ceremonies, traditions, superstitions, fun, feeling, and festivities of the Christmas season","Hervey, Thomas Kibble, 1799-1859",Christmas,"New York, Wiley & Putnam",eng
religioussouven00unkngoog,1846,"The Religious Souvenir: A Christmas, New Year's and Birth Day Present",,,"Key, Mielke and Biddle",English
christmaseveorst00schm,1846,"Christmas Eve, or, The story of poor Anthony","Schmid, Christoph von, 1768-1854",,Philadelphia : H.F. Anners,eng
amuletchristmasn00bostrich,1846,The Amulet. A Christmas and New Year's present for MDCCCXLVI. With nine beautiful steel engravings,,Gift books,"Boston, Otis, Broaders & company",eng
baronsyulefeast00coopgoog,1846,The Baron's Yule Feast: A Christmas Rhyme,Thomas Cooper,,J. How,English
baronsyulefeastc00coop,1846,The baron's Yule feast: a Christmas rhyme,"Cooper, Thomas, 1805-1892. [from old catalog]",,"London, J. How",eng
dickchristmascarolin00rich,1846,A christmas carol in prose ; The chimes ; The cricket on the hearth,"Dickens, Charles, 1812-1870;Dickens, Charles, 1812-1870;Dickens, Charles, 1812-1870",,Leipzig : Bernh. Tauchnitz Jun.,eng
christmasholyday01kipw,1846,The Christmas holydays in Rome,"Kip, William Ingraham, 1811-1893",,"New York, D. Appleton & Co., [etc., etc.]",eng
bookeofchristmas00cund,1846,"A booke of Christmas carols, illuminated from ancient manuscripts in the British museum","Cundall, Joseph 1818-1895, [from old catalog] comp;Brandard John, 1812-1863, [from old catalog] illus","Carols, English","London, J. Cundall",eng
christmasholyda00kipgoog,1846,The Christmas holydays in Rome,"Kip, William Ingraham, 1811-1893",,"New York, D. Appleton & Co., [etc., etc.]",eng
achristmascarol00dickgoog,1846,A Christmas Carol in Prose: The Chimes; The Cricket on the Hearth,Charles Dickens,,B. Tauchnitz,English
achristmascarol05dickgoog,1846,A Christmas Carol in Prose ; The Chimes ; The Cricket on the Hearth: The ...,Charles Dickens,,B. Tauchnitz,English
christmasblossom00uncl,1847,"Christmas blossoms, and New Year's wreath [serial]",Uncle Thomas,Gift books,Philadelphia : E.H. Butler,eng
memoirslatechri00stepgoog,1847,"Memoirs of the Late Christmas Evans, of Wales",David Rhys Stephen,,Aylott and Jones,English
inundationorpard00gorerich,1847,"The inundation, or, Pardon and peace : a Christmas story","Gore, Mrs. (Catherine Grace Frances), 1799-1861;Cruikshank, George, 1792-1878",,"London : Fisher, Son",eng
christmasblossom1848uncl,1847,"Christmas blossoms, and New Year's wreath [serial]",Uncle Thomas,Gift books,Philadelphia : E.H. Butler,eng
amaranthortokeno00bost,1847,"The Amaranth, or, Token of remembrance : a Christmas and New Year's gift for .",,American literature;American literature -- 19th century,Boston : Phillips & Sampson,eng
christmasblossom1850uncl,1847,"Christmas blossoms, and New Year's wreath [serial]",Uncle Thomas,Gift books,Philadelphia : E.H. Butler,eng
christmasblossom1849uncl,1847,"Christmas blossoms, and New Year's wreath [serial]",Uncle Thomas,Gift books,Philadelphia : E.H. Butler,eng
krisskringleschr00duse,1847,Kriss Kringle's Christmas tree : a holiday present for boys and girls,"Dusenbery, B. M. (Benjamin M.) str",,Philadelphia : Grigg & Elliot,eng
christmasblossom1852uncl,1847,"Christmas blossoms, and New Year's wreath [serial]",Uncle Thomas,Gift books,Philadelphia : E.H. Butler,eng
youthshistorical00froi,1847,"The Youth's historical gift; a Christmas, New-Year and birth-day present. Containing: familiar descriptions of civil, military and naval events","Froissart, Jean, 1338?-1410?;Monstrelet, Enguerrand de, d. 1453;Evans, R. M., ed",History (General),"New-York, D. Appleton",eng
christmasofferin00dimo,1847,A Christmas offering:,"Dimond, Elizabeth, Mrs. [from old catalog]",,"Providence, Printed by Knowles and Vose",eng
christmasblossom1847uncl,1847,"Christmas blossoms, and New Year's wreath [serial]",Uncle Thomas,Gift books,Philadelphia : E.H. Butler,eng
amaranthortoken00percgoog,1847,"The Amaranth, Or, Token of Remembrance: A Christmas and New Year's Gift for ....",Emily Percival,,Phillips & Sampson,English
timeonironhorsen00hodg,1847,"Time on the iron horse, a new Christmas carol ..","[Hodgkins, Thomas G.] [from old catalog]",,"New York, T. G. Hodgkins",eng
victoriesofsutle00broo,1848,"The victories of the Sutlej ... together with The sailor's Christmas eve, and other pieces","Brooks, Henry F",,Dublin : Keene,eng
lastoffairieschr00jamerich,1848,The last of the fairies : a Christmas tale,"James, G. P. R. (George Payne Rainsford), 1801?-1860",,New York : Harper & brothers,eng
christmasrosesa00unkngoog,1849,Christmas roses,,Gift books,"Boston, Phillips & Sampson",eng
christmastyde00colegoog,1849,Christmas tyde,"Coleridge, Sara (Coleridge), 1802-1852",Christmas,"London, W. Pickering",eng
sabbathlyricsor00simmgoog,1849,"Sabbath lyrics; or, Songs from Scripture. A Christmas gift of love","Simms, William Gilmore, 1806-1870","Christian poetry, American","Charleston, From the press of Walker and James",eng
christmastyde01colegoog,1849,Christmas tyde,"Coleridge, Sara (Coleridge), 1802-1852",Christmas,"London, W. Pickering",eng
youngpatroonorc00myergoog,1849,"The Young Patroon, Or, Christmas in 1690: A Tale of New York",Peter Hamilton Myers,,"George P. Putnam; [etc .,etc.]",English
sketchbook00irvigoog,1849,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
leavesforchristm00bostiala,1849,"Leaves for a Christmas bough : love, truth, and hope",,Children's stories;Children's poetry,"Boston : Wm. Crosby & H.P. Nichols, 111 Washington Street ; New York : Charles B. Norton, 71 Chambers Street",eng
friendshipsoffer00stewrich,1849,"Friendship's offering: a Christmas, New Year and birthday present, for MDCCCXLIX","Stewart, George Rippey, 1895-",,"Boston, Phillips & Sampson",eng
juvenilescrapbo00unkngoog,1849,The Juvenile Scrap-book for 1849: A Christmas and New Year's Present for Young People,,,Geo. S. Appleton,English
christ00bram,1850,Christmas carols new and old,"Bramley, Henry Ramsden, 1833-;Stainer, John, Sir, 1840-1901",Carols;Christmas music,"London ; New York : Novello, Ewer and Co.",eng
christmascomesbu00leigiala,1850,"Christmas comes but once a year : showing what Mr. Brown did, thought, and intended to do, during that festive season","Leighton, John, 1822-1912;Dalziel, Edward, 1817-1905;Dalziel, George, 1815-1902",Christmas,"London : William Tegg and Co., 85, Queen Street, Cheapside",eng
chricarolsn00bram,1850,Christmas carols new and old,"Bramley, Henry Ramsden, 1833-;Stainer, John, Sir, 1840-1901",Carols;Christmas music,New York : McLoughlin Brothers,eng
sermonsofchristm01evan,1850,Sermons of Christmas Evans,"Evans, Christmas, 1766-1838. [from old catalog];Cross, Joseph, 1813-1893, tr","Sermons, Welsh","Richmond, Sold by J. Early",eng
carolsn00bram,1850,Christmas carols new and old,"Bramley, Henry Ramsden, 1833-;Stainer, John, Sir, 1840-1901",Carols;Christmas music,London : Novello and Co. ; New York : H.W. Gray Co.,eng
christmaseveeast00browrich,1850,Christmas-eve and Easter-day. A poem,"Browning, Robert, 1812-1889",,London : Chapman & Hall,eng
violetchristmasn00newy,1850,The violet : a Christmas and New Year's gift,,,New York : Leavitt and Allen,eng
affectionsgiftch00sand,1850,"Affection's gift, a Christmas, New-Year and birth-day present","Sandford, John, Mrs., d. 1853. Woman in her social and domestic character",Gift books;Women,New York : Leavitt & Allen,eng
